time(ms), x(mm), y, z, ax(m/s2), ay, az
28886595.188,-0.71528509316,223.43978202,108.03867998,-0.34129057606,8.7080650902,1.5911764352
28886595.688,-0.72347806021,223.41657147,108.0239352,-0.34118034483,8.9983236424,1.6186467064
28886596.188,-0.73199964272,223.39533304,108.00823484,-0.34106931466,9.2885527071,1.646220868
28886596.688,-0.74085753763,223.37612934,107.99154227,-0.34095758648,9.5787490847,1.6739284094
28886597.188,-0.75005944189,223.35902298,107.97382088,-0.34084527287,9.8689094866,1.7017997668
28886597.688,-0.75961305246,223.34407657,107.95503408,-0.34073249776,10.159030535,1.7298663236
28886598.188,-0.7695260663,223.33135273,107.93514524,-0.3406193966,10.449108758,1.7581604085
28886598.688,-0.77980618035,223.32091404,107.91411776,-0.34050611637,10.739140586,1.7867152944
28886599.188,-0.79046109157,223.31282314,107.89191501,-0.34039281548,11.029122346,1.8155651977
28886599.688,-0.80149849691,223.30714261,107.8685004,-0.3402796638,11.319050261,1.8447452766
28886600.188,-0.81292609333,223.30393508,107.84383731,-0.34016684281,11.608920441,1.8742916296
28886600.688,-0.82475157778,223.30326314,107.81788913,-0.34005454528,11.89872888,1.9042412948
28886601.188,-0.8369826472,223.30518942,107.79061925,-0.33994297566,12.18847145,1.9346322465
28886601.688,-0.84962699857,223.30977651,107.76199105,-0.339755846,12.476453889,1.9653240745
28886602.188,-0.86269232882,223.31708703,107.73196793,-0.33049385133,12.563873787,1.975228226
28886602.688,-0.87618627079,223.32718321,107.70051349,-0.30370227646,12.263989835,1.9443707473
28886603.188,-0.89010884984,223.34008418,107.66761638,-0.27491039231,11.919866981,1.9090843096
28886603.688,-0.90444539745,223.35572576,107.63331369,-0.24611863287,11.575706369,1.8740198517
28886604.188,-0.91917956805,223.37403425,107.59764803,-0.21732672464,11.2315131,1.839132626
28886604.688,-0.93429501613,223.39493597,107.56066199,-0.18853442188,10.887292156,1.8043791681
28886605.188,-0.94977539614,223.41835722,107.52239818,-0.15974150664,10.543048398,1.7697172996
28886605.688,-0.96560436253,223.44422431,107.4828992,-0.13094778866,10.198786575,1.7351061287
28886606.188,-0.98176556978,223.47246356,107.44220766,-0.10215310546,9.8545113269,1.700506053
28886606.688,-0.99824267233,223.50300127,107.40036616,-0.073357322328,9.5102271833,1.6658787597
28886607.188,-1.0150193247,223.53576375,107.3574173,-0.04456033218,9.1659385703,1.6311872287
28886607.688,-1.0320791812,223.57067732,107.31340369,-0.015762055814,8.82164981,1.5963957314
28886608.188,-1.0494058965,223.60766829,107.26836793,0.013037558333,8.4773651227,1.5614698345
28886608.688,-1.0669831249,223.64666296,107.22235262,0.041838534067,8.1330886279,1.5263763991
28886609.188,-1.0847945209,223.68758764,107.17540037,0.07064086743,7.7888243442,1.4910835826
28886609.688,-1.102823739,223.73036865,107.12755378,0.099444526707,7.4445761899,1.4555608391
28886610.188,-1.1210544336,223.77493229,107.07885545,0.12824945253,7.1003479835,1.4197789207
28886610.688,-1.1394702592,223.82120488,107.02934799,0.15705555766,6.756143441,1.3837098772
28886611.188,-1.1580548703,223.86911272,106.97907401,0.1858627272,6.4119661775,1.3473270577
28886611.688,-1.1767919213,223.91858212,106.92807609,0.21467081843,6.0678197036,1.3106051103
28886612.188,-1.1956650666,223.9695394,106.87639686,0.24347966098,5.7237074259,1.273519983
28886612.688,-1.2146579608,224.02191087,106.82407891,0.27228905657,5.3796326429,1.2360489233
28886613.188,-1.2337542583,224.07562283,106.77116484,0.30109877928,5.0355985445,1.198170479
28886613.688,-1.2529376136,224.13060159,106.71769726,0.32990857532,4.6916082089,1.1598644976
28886614.188,-1.2721916811,224.18677347,106.66371878,0.35871816326,4.3476646003,1.1211121272
